Название товара,Категория,Описание,Цвет,Дизайн ДОМИНО,Материал рабочей поверхности,Установка,Тип варочной поверхности,Ширина,Высота,Глубина,Ширина для встраивания,Глубина для встраивания,Общее количество конфорок,Конфорок газовых,Необычные конфорки,Переключатели,Расположение панели управления,Электроподжиг,Тип электроподжига,Газ-контроль конфорок,Особенности,Возможность работы от газового баллона,Дополнительная информация,Габариты транспортной упаковки,Вес в транспортной упаковке,Срок службы,Гарантийный срок,Номинальная мощность,Специальные конфорки,Конфорок Двойная корона,Управление со смартфона,Экспресс-конфорок,Максимальная потребляемая мощность,Безопасность,"Вес товара, г",Комплектация,Материал решетки варочной панели,Многоконтурные конфорки,"Размеры ниши для встраивания панели, мм","Размеры, мм",Тип,Линейка,Конфорок электрических,Конфорок индукционных,Минимальный диаметр конфорки,Максимальный диаметр конфорки,Размеры конфорок,Тип сенсорного управления,Функции,Тип таймера,Индикация,"Минимальная толщина столешницы, мм",Тип управления,Конфорок Hi Light,Цвет рамки,Электроконфорок,Условия возврата,Ширина общая,Глубина общая,Глубина сиденья,Длина спального места,Ширина спального места,Обивка,Цвет товара,Назначение,Число мест,Механизм трансформации,Тип подлокотников,Наполнитель,Материал каркаса,Высота общая,Максимальная нагрузка,Тип ткани,Расположение угла,Вес,Стиль,Вид выпуска товара,Исполнение,Тип матраса,Покрытие корпуса,Рисунок на обивке,Форма дивана,Тип духового шкафа,Объем духовки,Класс энергопотребления,Мощность подключения,Размеры (ВхШхГ),Максимальная температура,Режимы нагрева,Число автоматических программ,Функция СВЧ,Гриль,Тип гриля,Конвекция,Тип поворотных переключателей,Особенности конструкции,Дополнительные функции,Газ-контроль,Дверца духовки,Очистка духовки,Число стекол дверцы духовки,Подробная комплектация,Мощность гриля,Утапливаемые переключатели,Сенсорный дисплей,Уникальные технологии,Протокол связи,"Вес, кг",Внутреннее покрытие,Количество режимов работы,Подсветка духовки,"Потребляемая мощность, Вт","Размер ниши, мм",Таймер,Телескопические направляющие духовки,Управление духовкой,Функционал духовки,"Ширина встраивания, см",Совместимые поверхности,Количество кресел в комплекте,Материал обивки,Высота сиденья,Высота спинки,Для детей,Высота ножек,Комната,Назначение (помещение),Ориентация,"Ширина спинки, см",Высота спального места,Не содержит,Упаковка,Условия хранения,Белки в 100 г,Жиры в 100 г,Углеводы в 100 г,Состав,Набор,Тип питания,Энергетическая ценность в 100 г,Срок годности,Страна произрастания,Стандарты производства,Объем,Количество упаковок,Средство,Степень фиксации,Эффект,Тип волос,Нанесение,Область применения,Профессиональное средство,Страна бренда,Способ применения,Форма выпуска,Для мужчин,Пол,Професcиональное средство,Солнцезащитная косметика,Целевая аудитория,Вид сухофруктов,Вид обработки сухофруктов,Минимальная температура,Минимальный возраст ребенка,Название серии,Содержит,Срок годности в днях,Срок потребления,Форма выпуска сухофрукты/цукаты,С дозатором,Количество,Активный ингредиент,Уровень pH,Масла и экстракты,Аромат
"Арахис отборный ""Космические"" натуральный обжаренный 1000 гр ( 1 кг ), без соли и масла, очищенный от скорлупы",Орехи,"Натуральный жареный арахис ""Космические"" - это только отборный арахис крупного калибра, обжаренный без добавления масла и соли, чтобы сохранить натуральный вкус орехов. Особая рецептура щадящей обжарки позволяет сохранить все полезные свойства, ведь в арахисе содержатся калий, фосфор, магний, фолиевая кислота, витамины группы В. Арахис не содержит глютена и холестерина. Орехи и снеки ""Космические"" - полезный и питательный перекус в дороге, на работе, дома! Несоленый арахис в большой упаковке уже готов к употреблению, и отлично подойдёт как для легкого перекуса, так и для добавления в Ваше кулинарное блюдо. Приятного аппетита!",,,,,,,,,,,,,,,,,,,"обжаренные, очищенные, без соли",,"большая упаковка, снек, к пиву, подарок, 23 февраля, вкусный подарок, готовый продукт, без холестерина, несоленый, правильное питание, пп продукт, ЗОЖ, суперфуд",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 г,,,,,,,,,,,,,,,,,,,,,,,,,,,1 упаковка 1 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ГМО, искусственные ароматизаторы, сахар, соль",флоу-пак,"Температура – не выше +25ºС, относительная влажность воздуха – не выше 75%",31 г,51 г,9.2 г,Арахис натуральный обжаренный,,"для веганов, для вегетарианцев, можно в пост",642 ккал,274 дн.,,ТУ 10.39.23-002-14307430-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Грецкий орех крупный отборный очищенный 500гр Kosmark,Орехи,"Грецкий Орех польза : богаты витамин Д3, клетчаткой, Mg B6, калием и другими микроэлементами. В их составе много жирных кислот омега-3 и лецитина, которые улучшают работу мозга и активизируют память. Благодаря альфа-линоленовой и фолиевой кислотам, полифенолам или мелатонину орехи помогают поддерживать хорошее настроение. Их польза для здоровья волос, ногтей и регенерации кожи неоспорима. Учёные подтверждают, что 2-3 порции этих плодов в день снижают холестерин в организме, хорошо помогают для похудения , что риск заболеваний сердца значительно сокращается. Грецкий орех купить сырой, Сушеный , из грецкого ореха можно делать конфеты в подарок маме и различные сладости, также есть множество рецептов с грецким орехом. Один из них Салат с грецкими орехами, курицей и черносливом : взять в ровных пропорциях все ингредиенты, добавить жареные шампиньоны и смешать всё с майонезом или сметаной. Приятного аппетита!",,,,,,,,,,,,,,,,,,,очищенные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ГМО, искусственные ароматизаторы, консерванты",пластиковая банка,,,,,грецкий орех,,"для веганов, для вегетарианцев, можно в пост",,365 дн.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кешью сырой натуральный 1000гр,Орехи,"Кешью сырой сушеный 1 килограмм. Кешью обладает антидиабетическими свойствами, понижает сахар и предотвращает осложнение диабета. Снижает воспалительные реакции. Кешью полезен при атеросклерозе. В нем много магния, который расслабляет сосуды, понимает давление. Также как и миндаль кешью воздействует на органы дыхания. Снимаем ПМС у женщин. Медь улучшает состояние кожи, в частности, коллагена (каркаса кожи). Благотворно влияет на волосы, ногти.",,,,,,,,,,,,,,,,,,,без обжарки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ГМО, ароматизаторы, глутамат натрия, искусственные ароматизаторы, искусственные красители, консерванты, крахмал, пальмовое масло, сахар, соль",,Хранить при температуре от +2 до +25 градусов Цельсия при относительной влажности не более 75%,18.5 г,48.5 г,22.5 г,Кешью сырой,,"для веганов, для вегетарианцев, можно в пост, халяльный продукт",,365 дн.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Макадамия орех (Macadamia) 1000 грамм в скорлупе с распилом, свежий урожай без горечи, ванильный вкус, отборные орехи",Орехи,"Макадамия в скорлупе или макадамский орех это вкуснейший и очень полезный вид орехов. Содержит огромное количество витаминов, минералов и аминокислот, улучшает иммунитет, кровеносную систему, очищает холестерин, и борется с раковыми клетками на молекулярном уровне, что доказано клиническими испытаниями. Произрастают во Вьетнаме, Австралии, Пакистане. Орехи с очень прочной скорлупой и специальным распилом, разрезом в ней и ключики для открывания в комплекте. Вкус слегка ванильного оттенка, текстура плотная, орех хрустящий и приятный, используется как перекус, добавка к основным блюдам и как сладость к кофе или чаю. Насладитесь и вы чудесным вкусов Макадамии и оцените вкус этого замечательного ореха и лакомства. Без сахара и примесей, без ГМО. Страна изготовитель Австралия. Вес упаковки 1000 грамм.",,,,,,,,,,,,,,,,,,,в скорлупе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ГМО, сахар",пластиковый пакет,,,,,,,для веганов,,,Австралия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Макадамия орех очищенный, крупный и отборный орех, макадамия натуральная без пропитки и ароматизаторов 500 грамм",Орехи,"Макадамия Kosmark PREMIUM: самый дорогой и ценный орех в мире Макадамия Kosmark PREMIUM - это самый дорогой и ценный орех в мире, благодаря своему сложному процессу выращивания. Орех обладает уникальным вкусом, напоминающим фундук с тонкими ванильными нотками, что делает его отличным дополнением к десертам и выпечке. Полезные свойства и состав Орехи макадамия содержат эфирные масла, натуральные сахара, клетчатку, а также витамины группы B и E. Они являются отличным источником белка и полезных жиров, что делает их отличным выбором для здорового питания. Особенности и хранение Макадамия Kosmark PREMIUM очищена от скорлупы и готова к употреблению. Орехи не содержат глютена, ГМО, вкусовых добавок и искусственных добавок, что делает их безопасными для здоровья. Для сохранения свежести и вкуса макадамии, храните орехи в сухом прохладном месте при температуре воздуха от 2 до 25 С и относительной влажности воздуха не более 75%. Берегите орехи от попадания прямых солнечных лучей. Выбирая макадамия Kosmark PREMIUM, вы получаете качественный, полезный и вкусный продукт, который станет отличным дополнением к вашему рациону.",,,,,,,,,,,,,,,,,,,"очищенные, целые",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Без глютенаБез ГМОВкусовые добавкиИскусственные добавки,пластиковая банка,Хранить в сухом прохладном месте при температуре воздуха от 2 до 25 С и относительной влажности воздуха не более 75%. Беречь от попадания прямых солнечных лучей.,7.9 г,75.8 г,13.8 г,макадамия очищенная натуральная,,"для веганов, для вегетарианцев, можно в пост",,365 дн.,Россия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миндаль жареный крупный 1000 гр Kosmark Отборный миндаль свежий 1кг,Орехи,"Миндаль жареный крупный Kosmark: польза и вкус для вашего здоровья и кулинарии Польза для здоровья Миндаль жареный крупный Kosmark обладает множеством полезных свойств для организма человека. Ежедневное употребление этого ореха может помочь восполнить дефицит витаминов и минералов, нормализовать функционирование внутренних органов и систем организма, а также бороться с признаками старения. Орех является естественным природным антиоксидантом, что делает его особенно полезным для поддержания здоровья и молодости. Применение в кулинарии Жареные миндальные орешки придают изысканный вкус выпечке и десертам, а также могут быть использованы в сиропе, орехах в меду и салатах, мясных и рыбных блюдах. Упаковка и хранение Миндаль жареный крупный Kosmark упакован в прочную и герметичную пластиковую банку, что обеспечивает сохранность продукта и удобство хранения. Порадуйте своих близких и женщин полезными продуктами на 8 марта или просто побалуйте себя и своих близких этим вкусным и полезным продуктом.",,,,,,,,,,,,,,,,,,,"обжаренные, очищенные, целые",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,пластиковая банка,,,,,,,,,365 дн.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фисташки соленые в скорлупе жареные отборные 1 кг Kosmark Фисташки Премиум в банке 1000 грамм,Орехи,"Фисташки соленые жареные отборные 1 кг Kosmark - это высококачественный продукт, который станет отличным дополнением к вашему рациону. Особенностью этих фисташек является щадящая термическая обработка, благодаря которой орехи сохраняют все полезные свойства. Быстрое обжаривание и минимальное поглощение жиров обеспечивают сохранение вкуса и аромата. Фисташки являются экологически чистым продуктом, поскольку технологии их обработки не требуют вмешательства посторонних ингредиентов. Большое содержание клетчатки делает эти орехи отличным источником полезных веществ. Фисташки содержат витамины группы В, особенно редкий В6, а также микро- и макроэлементы, такие как цинк, йод, фосфор, медь и калий. Фисташки соленые жареные Kosmark упакованы в удобную банку весом 1 кг, что позволяет наслаждаться этим продуктом в любое время и в любом месте. Выбирая фисташки соленые жареные Kosmark, вы получаете качественный и полезный продукт, который станет отличным дополнением к вашему рациону и разнообразит ваш перекус.",,,,,,,,,,,,,,,,,,,"в скорлупе, обжаренные, соленые, целые",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ГМО, ароматизаторы, глутамат натрия, глютен, консерванты",пластиковая банка,,,,,фисташки жареные соленые в скорлупе,,,,365 дн.,США,Россия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOSMAVIA Спрей для укладки волос: термозащита и антистатик All-In-One Styler, 150 мл",средства для укладки,"Многофункциональный спрей для создания идеальной подвижной укладки без склеивания. Оказывает мощное термозащитное действие – равномерно распределяет тепло от стайлинговых приборов и предотвращает перегревание волос, предупреждая разрушение кератина и иссушение кутикулы. Контролирует пушистость даже в очень влажной среде, а также обладает выраженным антистатическим эффектом – нивелирует негативное влияние сухого воздуха и устраняет наэлектризованность волос. Создает на прядях невесомый слой, уплотняющий структуру и обеспечивающий ультралегкий фиксирующий эффект при горячей укладке, сохраняя при этом натуральную подвижность волос для максимально естественной и объемной прически. Подходит для текстурирования или оформления локонов. Благодаря особой формуле с аминокислотами, Д-пантенолом и трехалозой средство поддерживает нормальный уровень увлажненности волос, сохраняет их блеск, упругость и эластичность.",,,,,,,,,,,,,,,,,,,"не тестируется на животных, термозащита",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,парабенов,,,,,,"вода, косметическая основа, аминокислоты, Д-пантенол, трехалоза",,,,730 дн.,,,150 мл,1 шт.,спрей,средняя,"антистатик, текстурирование, подвижная фиксация, против повреждений и обезвоживания, создание формы и объема укладки, термозащита, устранение пушистости",для всех типов,на влажные или сухие волосы,для кончиков,да,Россия,"Распылить средство на чистые слегка влажные или сухие волосы с расстояния 20-30 см, затем приступить к укладке волос. Для текстурирования или оформления локонов разделите волосы на пряди и обработайте их средством по отдельности. Не накапливается на волосах и легко смывается.",,,,,,,,,,,,,,,,,,,,,
"KOSMO'S CHOP SHOP, Style Глина для устойчивой фиксации волос 70 гр",средства для укладки,"Глина для устойчивой фиксации волос - стильный продукт от Johnnys Chop Shop, передовой коллекции косметики для мужчин.Поставляемая из Азии матирующая глина создаёт суровый и брутальный вид. Подходит для всех типов волос, позволяя выглядеть мужественно, естественно и без лишних усилий. Благодаря пчелиному воску и экстракту шалфея средство обеспечивает надлежащий уход и защиту. Черный перец в составе способствует росту волос. Без парабенов.",,,,,,,,,,,,,,,,,,,"гипоаллергенный, Без парабенов, Веганская косметика, Вегетарианская косметика",,Нет бренда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,черный,,,,,,,,,,,70 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aqua (water), bis-diglyceryl polyacyladipate-2, quartz, kaolinite, petrolatum, cetearyl alcohol, paraffinum liquidum (mineral oil), glyceryl stearate, parfum (fragrance), cera alba (beeswax), dimethicone, ammonium polyacrylate, c13- c16 isoparaffin, laureth-30, peg-100 stearate, carbomer, xanthan gum, chlorphenesin, phenoxyethanol, piper nigrum (black pepper) seed extract, salvia officinalis (sage) leaf extract, ci 19140 (yellow 5), ci 16035 (red 40), ci 42090 (blue 1)",,,,1095 дн.,,,70 мл,,глина,сильная,"Рост, Стайлинг, стайлинг, фиксация",для всех типов,на влажные или сухие волосы,тело,,,"Нанесите на пальцы небольшое количество средства размером с монетку. Равномерно разотрите средство между ладонями. Распределите смесь по сухим или влажным волосам, чтобы придать им форму.",Картонная коробка,,,,,,,,,,,,,,,,,,,,
"Ollin Curl Hair Мусс для волос, для создания локонов, 150 мл",средства для укладки,"KOSMOS Professional. Мусс CURL эластичной фиксации KOSMOS Professional - профессиональная косметика для вьющихся и кудрявых волос, предназначенная для ежедневного ухода. Мусс для укладки волос придает локонам объем, устраняет пушистость волос, восстанавливает и моделирует локоны. Оригинальный несмываемый уход придает волосам здоровый блеск и выравнивает их поверхность. Он идеально подходит как для длинных, так и коротких волос. Мусс Оллин идеальное решение для всех обладательниц натуральных или химически завитых волос. Продукт обладает легкой текстурой, не склеивает и не утяжеляет волосы и обеспечивает подвижную фиксацию и идеально очерченные локоны. Мусс для укладки волос объем из серии CURL помогает создать прическу, которая продержится на протяжении всего дня. Его уникальная формула содержит D-пантенол и силиконовую микроэмульсию. Пантенол внутри волоска выпрямляет микронеровности, заполняет неравномерные участки в стержне волоса, устраняет ломкость волос, увеличивает толщину волос. Силиконовая микроэмульсия оказывает сухое и мокрое кондиционирующее воздействие, увеличивает массу и объем волос. KOSMOS Professional – бренд профессиональной косметики для волос и тела, поставивший перед собой задачу сделать профессиональный уход доступным. Перед тем как приступить к укладке, помните о важности защиты ваших волос от повреждений при использовании термических инструментов, таких как фен, утюжок для волос и т.п. Используйте термозащиту 15 в 1, чтобы сохранить здоровье своих волос и избежать ломкости и секущихся кончиков. Также, не забывайте использовать стайлинг продукты для фиксации укладки волос на длительный период времени. Это поможет сохранить вашу прическу в идеальном состоянии в течение всего дня. Возвращаясь к муссу для волос, мы можем с уверенностью сказать, что он станет прекрасным подарком для любой женщины, будь то мама, сестра, жена или дочь. Он поможет сохранить здоровье и красоту волос, придать им блеск и ухоженный вид. Попробуйте наши средства для ухода за волосами и вы почувствуете разницу с первого применения.",,,,,,,,,,,,,,,,,,,"УФ-защита, не тестируется на животных",,,,,,,,,,,,,,,Мусс для волос - 1 шт.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aqua, Polyquaternium-55, Cocamidopropyl Betaine, Polysorbate-20, Silicone Quaternium-16/Glycidoxy Dimethicone Crosspolymer, PEG-40 Hydrogenated Castor Oil, Fragrance, Panthenol, Undeceth-11, Undeceth-5, Tetrasodium EDTA, Propylene Glycol, Alpha-Isomethyl lonone, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone.",,,,1094 дн.,,,150 мл,1 шт,мусс,средняя,"придание мягкости, придание эластичности, создание локонов, увлажнение",для всех типов,на влажные волосы,,да,Италия,Нанести мусс на каждую прядь при помощи расчески. Не смывать. Приступить к укладке.,,,,,,,,,,,,,,,,,,,,,
"OLLIN STYLE Гель ""мокрый эффект"" средней фиксации 200мл/ Wet Gel Medium",средства для укладки,"Прекрасно фиксирует вьющиеся волосы, создавая «мокрый эффект». Особая формула обеспечивает длительную фиксацию без склеивания и застывания волос. Оставляет волосы эластичными и идеально подходит для естественной сушки и сушки с применением диффузора. Способ применения Нанести на сухие или влажные волосы, создать объем и текстуру. Объем: 200мл",,,,,,,,,,,,,,,,,,,не тестируется на животных,,страна происхождения Россия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Water, VP/Methacrylamide/Vinyl Imidazole Copolymer, Acrylates/Palmeth-25 Acrylate Copolymer, Glycerine, VP/VA Copolymer, D-panthenol, TEA, PEG-40 Hydrogenated Castor Oil, PEG/PPG-15/15 Dimethicone, Fragrance, 5-chlor-2-methyl-4-isothiazolin-3-one, 2-methyl-4-isothiazolin-3-one, Amyl Cinnamal, Butylphenyl Methylpropional, Hexyl Cinnamal, Linalool, Limonene, Citral, Citronellol, Geraniol, Benzyl Benzoate",,,,1095 дн.,,,200 мл,1 шт.,гель,средняя,фиксация без склеивания,для всех типов,на влажные или сухие волосы,,да,Дания,"нанести на сухие или влажные волосы, создать объём и текстуру",тюбик,есть,,,,,,,,,,,,,,,,,,,
"OLLIN STYLE Спрей-объем для волос ""Морская соль"" 250 мл",средства для укладки,"Спрей-объем для волос ""Морская соль"" от KOSMOS Professional - это профессиональное средство для создания стильных и объемных причесок. Абсорбирующий эффект солевых соединений, входящих в состав спрея, обеспечивает отличную фиксацию прически даже при высоких показателях влажности. Благодаря этому, укладка сохраняется на протяжении всего дня. Средство легко счесывается и не оставляет следов на волосах. Применение спрея-объема ""Морская соль"" от KOSMOS Professional не составит труда даже для начинающих. Распылите средство на влажные или сухие волосы с расстояния 15-20 см, распределите руками и высушите, задавая нужное направление укладки. Объем спрея составляет 250 мл, что делает его экономичным в использовании. Цвет продукта - бесцветный. KOSMOS Professional - это российский бренд, который зарекомендовал себя на рынке профессиональной косметики для волос. Продукция компании не содержит формальдегид, парафин, отдушки, сульфаты, силиконы, фталаты, аммиак и другие вредные компоненты. Спрей-объем для волос ""Морская соль"" от KOSMOS Professional - это надежное и эффективное средство для создания стильных и объемных причесок, которое подойдет для всех типов волос и обеспечит их защиту от негативного воздействия окружающей среды.",,,,,,,,,,,,,,,,,,,с морской солью,,Профессиональное средство,,,,,,,,,,,,,"KOSMOS Professional Спрей-объем для волос Морская соль, 250 мл",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"отдушек, парафин, силиконов, сульфатов, формальдегид, фталатов",,,,,,"aqua, vp/va copolymer, sodium chloride, hydroxyethyl urea, sodium benzoate, peg-40 hydrogenated castor oil, lactic acid, parfum, hexyl cinnamal, linalool, limonene, alpha-isomethyl ionone, citronellol",,,,1095 дн.,,,250 мл,1 шт.,спрей,средняя,"придание матовости, придание объема, уплотнение волос","вьющиеся, жирные, непослушные, нормальные, сухие",на влажные или сухие волосы,кожа головы,да,Россия,"распылить ровным слоем на влажные или сухие волосы с расстояния 15-20 см. распределить руками, высушить, задавая нужное направление укладки волос",,,,,,,,,,,,,,,,,,,,,
"Воск для волос KOSMI ""Стик Долговечный"", для всех типов волос, 75 г",средства для укладки,"Текстурирующий карандаш необычное средство для стайлинга. Этот продукт является лидером среди восковых средств для укладки волос. Эффективность карандаша обусловлена комбинацией касторового, пчелиного и японского воска, которые подходят для волос любого типа. С его помощью легко выделять отдельные пряди как на коротких, так и на длинных волосах. В результате получится уникальная структурированная прическа, которая останется безупречной в любую погоду. Восковый карандаш легко использовать при любых обстоятельствах, даже если вы не дома. Удобный стик поместится в самую маленькую сумочку, так что поправить прическу можно когда угодно. Касторовое масло кондиционирует и увлажняет. Пчелиный воск создает текстуру. Гидрогенизированное касторовое масло кондиционирует и увлажняет локоны. Японский воск создает текстуру и фиксацию. Показания к применению: для естественной укладки. Придает полуматовый эффект.",,,,,,,,,,,,,,,,,,,,,"снижает статическое напряжение; состав активных компонентов: касторовое масло (увлажняет волосы), пчелиный воск (создает текстуру), растительный воск (создает текстуры и обеспечивает фиксацию)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,бежевый,,,,,,,,,,,75 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ricinus communis (castor) seed oil, beeswax (cera alba/cire d’abeille), hydrogenated castor oil, rhus succedanea fruit wax, euphorbia cerifera (candelilla) wax, sorbitan stearate, fragrance (parfum), bht, benzyl benzoate, benzyl salicylate, butylphenyl methylpropional, citronellol, coumarin, geraniol, limonene, linalool",,,,1094 дн.,,,75 мл,,воск,,"придание матовости, текстурирование, увлажнение",для всех типов,на влажные или сухие волосы,для всей длины,,,"наносится как на сухие, так и на влажные волосы. Распределите его по рукам, затем создайте необходимую форму или текстуру. Подчеркните игольчатую стрижку на коротких волосах или создайте голливудскую волну, используя продукт от середины длины и на концах",стик,,,,,,,,,,,,,,,,,,,,
Мусс для волос Kosmuko Объем для тонких волос (суперсильной фиксации) 200 мл,средства для укладки,"Мусс для волос Kosmuko «Объем для тонких волос» суперсильной фиксации обволакивает каждый волос, заполняя истонченные участки и создавая эффект объемной укладки от самых корней. Стайлинг придает волосам упругость и легкость. Мусс Kosmuko обеспечивает максимальный уровень фиксации, наполняет волосы жизненными силами, не утяжеляет и обеспечивает безупречную укладку. Применение: Перед использованием встряхните. Для придания объема нанесите мусс на прикорневую часть чистых влажных волос. Для моделирования прически и фиксации локонов распределите равномерно по всей длине волос. Высушите феном.",,,,,,,,,,,,,,,,,,,,,"ВНИМАНИЕ! Меры предосторожности. Баллон находится под давлением. Огнеопасно. Взрывоопасно в случае нагрева. Держать вдали от источников нагревания, горячих поверхностей, открытого огня, прямых солнечных лучей и других источников воспламенения, не использовать при температуре, превышающей 50 °С. Не курить во время использования. Не прокалывайте баллон и не сжигайте его даже после использования. Использовать в хорошо проветриваемом помещении. Беречь от детей. Избегайте попадания средства в глаза или на раздраженные участки кожи. После использования утилизируйте как бытовой отход.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,прозрачный,,,,,,,,,,,232 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ingredients: Aqua, Alcohol Denat., Butane, Octylacrylamide/Acrylates/Butylaminoethyl Methacrylate Copolymer, Butane, Propane, Isobutane, Triethanolamin, Ceteareth-20, Cocamidopropyl Betaine, Phytokeratin PF, Polyvinylcaprolactam, Benzophenone-4, Parfum, Ethylhexylglycerin, PEG-40 Hydrogenated Castor Oil, Cetrimonium Chloride, Phenoxyethanol, Alpha-Isomethyl Ionene, Benzyl Salicylate, Butylphenyl Methylpropional, Cinnamyl Alcohol, Citronellol, Eugenol, Hexyl Cinnamal, Hydroxycitronellal,Hydroxyiohexyl 3-Cyclohexene Carboxaldehyde.",,,,1096 дн.,,,200 мл,,мусс,экстрасильная,придание объема,для всех типов,на влажные волосы,,,Китай,Способ применения: перед использованием встряхнуть. Для придания объёма нанесите мусс на прикорневую часть чистых влажных волос. Для моделирования причёски и фиксации локонов распределите равномерно по всей длине волос. Высушите феном.,,,Женский,Нет,Нет,Взрослая,,,,,,,,,,,,,,,
